"GO.ID";"classicFisher";"weighted"
"GO:0006812";"1.000";"1.000"
"GO:0006813";"1.000";"1.000"
"GO:0006814";"1.000";"1.000"
"GO:0006816";"1.000";"1.000"
"GO:0006817";"1.000";"1.000"
"GO:0006820";"1.000";"1.000"
"GO:0006821";"1.000";"1.000"
"GO:0006825";"1.000";"1.000"
"GO:0006826";"1.000";"1.000"
"GO:0006829";"1.000";"1.000"
"GO:0006839";"1.000";"1.000"
"GO:0006855";"1.000";"1.000"
"GO:0006857";"1.000";"1.000"
"GO:0006869";"1.000";"1.000"
"GO:0006873";"1.000";"1.000"
"GO:0006875";"1.000";"1.000"
"GO:0006878";"1.000";"1.000"
"GO:0006885";"1.000";"1.000"
"GO:0006886";"1.000";"1.000"
"GO:0006887";"1.000";"1.000"
"GO:0006888";"1.000";"1.000"
"GO:0006890";"1.000";"1.000"
"GO:0006891";"1.000";"1.000"
"GO:0006897";"1.000";"1.000"
"GO:0006904";"1.000";"1.000"
"GO:0006906";"1.000";"1.000"
"GO:0006909";"1.000";"1.000"
"GO:0006913";"1.000";"1.000"
"GO:0006914";"1.000";"1.000"
"GO:0006915";"1.000";"1.000"
"GO:0006979";"1.000";"1.000"
"GO:0006996";"1.000";"1.000"
"GO:0007004";"1.000";"1.000"
"GO:0007005";"1.000";"1.000"
"GO:0007006";"1.000";"1.000"
"GO:0007007";"1.000";"1.000"
"GO:0007010";"1.000";"1.000"
"GO:0007015";"1.000";"1.000"
"GO:0007017";"1.000";"1.000"
"GO:0007018";"1.000";"1.000"
"GO:0007021";"1.000";"1.000"
"GO:0007030";"1.000";"1.000"
"GO:0007031";"1.000";"1.000"
"GO:0007033";"1.000";"1.000"
"GO:0007040";"1.000";"1.000"
"GO:0007049";"1.000";"1.000"
"GO:0007059";"1.000";"1.000"
"GO:0007091";"1.000";"1.000"
"GO:0007154";"1.000";"1.000"
"GO:0007155";"1.000";"1.000"
"GO:0007165";"1.000";"1.000"
"GO:0007186";"1.000";"1.000"
"GO:0007205";"1.000";"1.000"
"GO:0007264";"1.000";"1.000"
"GO:0007265";"1.000";"1.000"
"GO:0007266";"1.000";"1.000"
"GO:0007346";"1.000";"1.000"
"GO:0007585";"1.000";"1.000"
