"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrA0603C";1328,35893712029;-6,08273086842603;0,396762501283545;2,88647040499025e-54;3,88078349976189e-52
"TrA0631C";2128,67493033533;-6,04762021997971;0,419347270166589;2,75124703214139e-48;2,95918338678112e-46
"TrB0597W";7,92784899945006;-6,02369503461139;2,95107219665567;0,000274788075886103;0,00123148445587903
"TrB0815W";255,620100681709;-6,0232661549669;0,353681385245717;1,205045719553e-65;2,51288921681481e-63
"TrF0506C";32,5846175248405;-6,00472918832423;0,948519612322015;1,03055284347733e-10;1,24030494165505e-09
"TrA0346C";13664,7918908388;-5,9793824752664;0,486125847855104;5,50893244813869e-36;3,75268478367207e-34
"TrC0101W";123,696071826418;-5,93958051682364;0,639524487073871;2,01591210936531e-21;5,93619306440771e-20
"TrG1141C";9,73948211892004;-5,86761422711;1,57394348834643;7,88674153642223e-06;4,74039558936249e-05
"TrB0848C";149,285014278939;-5,86512682584358;0,55512793280464;5,08961319141283e-27;2,13137981925641e-25
"TrG0817C";46,9158558749947;-5,85230317012797;0,857681772242585;1,56542661182519e-12;2,32831573793737e-11
"TrF1087W";42,6714652479758;-5,83126338199606;1,17497717193411;1,07499919757075e-07;8,75246358627723e-07
"TrE0539W";2034,05309698692;-5,79826411179021;0,392911923997366;1,56490193544119e-50;1,79664808722899e-48
"TrC0396C";18,3600386188426;-5,75249908249638;1,13702203417873;1,78480767858475e-07;1,40393878828167e-06
"TrG0127W";10,279901552336;-5,73804645947273;1,92664756167849;9,90418266125654e-05;0,000483520967189294
"TrF0459C";757,453174040516;-5,73011095031803;0,409469272567016;1,21302009254096e-45;1,20336303937705e-43
"TrD0682C";16,7264284523014;-5,72428926251436;1,33097911443828;2,72714938738233e-06;1,77830328272321e-05
"TrD0298C";682,616333414726;-5,70618561660542;0,278264497093883;1,58244591980523e-94;6,46777296342796e-92
"TrA0216W";4,10036009954915;-5,69474588906409;2,88955962515352;0,000380998163738237;0,0016439716017644
"TrA0228W";740,792844992131;-5,69059137958897;0,710235319214661;5,95892984766351e-17;1,34708728281915e-15
"TrD0718C";126,45194917044;-5,66922270169026;0,665032291979355;1,57557690250193e-18;3,88870647095766e-17
"TrF0466W";34,1421882819716;-5,66413699823845;0,889174755098372;4,9080817210441e-11;6,21447075906178e-10
"TrF0465C";56,8723575106191;-5,6537193818511;0,809045508801988;3,65793409766399e-13;5,8310094555274e-12
"TrC0133W";30,0894282859647;-5,63885381212603;1,03744022077028;1,15856158030416e-08;1,07815867281857e-07
"TrG1068C";6,68346937688981;-5,60800077560213;2,70650676253287;0,000183234982237501;0,000847959713995827
"TrD0374W";10,7349337809757;-5,58319723900791;1,37030206140857;2,22407427353971e-06;1,47856804990428e-05
"TrE0431W";64,2083252108193;-5,57758078133376;0,581812844954799;4,09123066286353e-22;1,2478864153176e-20
"TrB0026C";20,3137303735017;-5,57607300604315;1,07951571183122;1,76860496968777e-07;1,39441401082328e-06
"TrD0967W";102,079406762494;-5,52400542862816;0,559622564964788;9,07562129377469e-24;3,15424144148945e-22
"TrB0576W";5044,83850288689;-5,49365895260798;0,225721402441466;5,8867078319618e-132;4,62695235592198e-129
"TrC0766W";440,017309702689;-5,46642431484502;1,38573974198085;2,89237416734737e-06;1,87765433557531e-05
"TrD0077C";53,65146449816;-5,46543599864088;0,797643340847592;5,90932090314829e-13;9,21854060891133e-12
"TrF0715W";109,844116074727;-5,44190566749209;0,775991482179957;1,86215915744895e-13;3,05418013977743e-12
"TrE1142C";1131,01470986249;-5,44041979140041;1,37143193780268;2,6385877878362e-06;1,72606210090334e-05
"TrB1570C";50,1506736959963;-5,44031405481349;0,735680658109711;2,42021021057594e-14;4,32337551252884e-13
"TrE0005W";82,1144488289215;-5,43180491495726;0,498997925832775;2,90611641284429e-28;1,33160078504229e-26
"TrA2144C";3,61889598840556;-5,40213828081721;2,77126549423663;0,00039180287965763;0,00168565971551228
"TrC0131C";6,3806093859919;-5,38625904929531;3,74064367266161;0,00255883723544898;0,00883019212151898
"TrD1313C";4,91835585928837;-5,38111752852013;2,56348695126617;0,000122464993856147;0,000586111150923707
"TrG1184C";375,269361533102;-5,3736010491649;0,672861316547147;7,93947867480451e-17;1,76744211544995e-15
"TrB1829C";3,45195816493326;-5,37181258809813;2,83162292795036;0,000528437081456166;0,00220031381349597
"TrA1895C";94,1362678566474;-5,32899738211831;0,519850375936789;1,98545616097004e-25;7,40415731853718e-24
"TrA0809C";1601,19235812895;-5,32866541156391;0,362639576182118;4,32633089290358e-50;4,80504881127052e-48
"TrG0858C";268,304586472313;-5,32489422358937;0,453394835427249;6,62771289895096e-33;3,86982688008462e-31
"TrG0152C";115,280763077206;-5,32191006377046;0,756615673803512;1,17591511824992e-13;1,95373994768743e-12
"TrA1966W";24,5133491958648;-5,32106763675811;0,941556425881078;2,89951046500866e-09;2,91319547015325e-08
"TrF0382C";3,81357883652516;-5,29230590253961;2,61609607897384;0,000222606324386964;0,00101408445055105
"TrB0865C";92,8203162434415;-5,28878928329516;0,472178834902442;1,8965826366916e-29;9,31696220274749e-28
"TrA0419C";3,62673378704048;-5,28070657070587;2,89681786542026;0,000781862183975941;0,00309653790537448
"TrA1903C";1477,65303381915;-5,26948225534696;0,34927866630615;1,36898047522785e-52;1,7014571691668e-50
"TrA0030W";156,762749617869;-5,26877905267847;0,430859486455304;1,96048896594172e-35;1,28412027269183e-33
"TrC1543C";30,8949032967702;-5,2670140074235;0,976001743859604;1,44198798952638e-08;1,32383048310697e-07
"TrB0073C";403,011028988594;-5,25132300010975;0,480859114051152;5,78822137778789e-29;2,76374046907648e-27
"TrA1888W";2,76933140994395;-5,24675553732312;3,18844145545935;0,00156022625454471;0,00572849150878112
"TrF0872C";18,0925047408857;-5,24478275796121;1,35106851741007;5,8226819408986e-06;3,57334318751363e-05
"TrF0464C";199,979151951296;-5,23852810986698;0,588316191214219;3,73276948563259e-20;1,02255867571565e-18
"TrF0252W";65,0324249579275;-5,23699327213263;0,852306797667042;7,52937647502783e-11;9,31418508738915e-10
"TrA0967C";494,277038098548;-5,2343388311666;0,498119013463104;4,67961929820097e-27;1,96775102835463e-25
"TrD0291C";201,199246762963;-5,21194177851487;0,485535874276296;7,56678758051727e-28;3,36162763033589e-26
"TrF1119W";4,4916633214426;-5,20611893709548;2,68783053461325;0,000398233494441581;0,00170987225081191
"TrE1268W";379,727055126062;-5,20447576168083;0,395795263317332;1,16435409855796e-40;9,44235728497243e-39
"TrD0072C";59,8566327781439;-5,18584569071988;0,834616959324508;4,19322926411928e-11;5,36250520910774e-10
"TrB0280W";133,237584673146;-5,18525600660252;0,701532368125411;1,15840119448674e-14;2,13647541579561e-13
"TrF0239C";16,3945917811718;-5,17415262004936;1,06757672967299;7,21913023107153e-07;5,18013150990792e-06
"TrG0191C";176,156298098198;-5,16064346523066;0,551726980749584;6,53835688154463e-22;1,96496854751833e-20
"TrA0500C";3,88808939774826;-5,15429653186211;2,68385313390669;0,00044063769355728;0,00186745580786739
"TrB1901C";4,36074790668955;-5,14426916927733;2,56968720489837;0,000245845175400696;0,00111398935797974
"TrC1507C";3,32935504340233;-5,13734378290083;2,72987708494262;0,000548559889706595;0,00227298659895458
"TrC1517W";7,25068002749099;-5,11392337447701;1,41534550769484;1,80690000812092e-05;0,000101948670806072
"TrD0190C";552,468699415645;-5,08109282122201;0,453279067296857;2,58038533767072e-30;1,33163522122825e-28
"TrE0929C";488,441067887131;-5,05925069695094;0,422239256424954;3,35274751414573e-34;2,11471445058896e-32
"TrA2134C";86,5171136863967;-5,05863721693948;0,414606471086484;6,83875644310821e-35;4,42268438833416e-33
"TrG0192C";161,818336599885;-5,05295861184227;0,4522165942558;6,18961161419218e-30;3,11553948146875e-28
"TrE0663W";7432,26321211107;-5,0522939718338;0,390885737233771;2,16834591913336e-39;1,653444671769e-37
"TrC0161W";146,947368725764;-5,04035221093632;0,481313994886801;1,50360300926059e-26;6,02250826569964e-25
"TrD1314W";918,627178644854;-5,03921452699934;0,42453394967869;1,16486160768751e-33;7,04293248955682e-32
"TrG0821W";3,02874799077468;-5,03256432004983;2,76985894976839;0,000764568444973608;0,00303392635756906
"TrE0148W";758,74988199849;-5,0101276056857;0,560715378360292;2,41495278421608e-20;6,66918582408647e-19
"TrD0062W";1372,76126813468;-5,00159371076086;0,373162077108464;4,14468401125822e-42;3,52919843558637e-40
"TrA0355W";322,123839534248;-4,99664554768691;1,21490910003954;1,68443825307348e-06;1,13984040198045e-05
"TrE1138C";610,400176315688;-4,987407196125;0,443936052146491;2,00530585733455e-30;1,04541914542063e-28
