"";"WT_1_DD";"WT_2_DD";"WT_3_DD";"mutant_1_DD";"mutant_2_DD";"mutant_3_DD";"WT _1_LL";"WT _2_LL";"WT _3_LL";"mutant_1_LL";"mutant_2_LL";"mutant_3_LL"
"TrA0059W";3,14500086009664;5,33068779342277;4,25599758656508;4,92968056156802;2,9064478214453;3,49100955178773;7,92260650407168;7,95068320246444;8,86463213567138;9,21636441343431;8,33518849847269;7,33121317856892
"TrA0060C";15,1082912815465;74,6752582776603;1,32406095272366;20,8056446260842;5,8264534169848;16,2595916361287;0,76017222845975;3,78035664149516;0,635183350057485;19,2848992437111;29,9484722941444;2,68104351835983
"TrA0061C";0;0;0;0;0;0;0;0;0,181745892863164;0;0,158103282507402;0
"TrA0062W";0,625357708924156;0,382569674902541;0,730802102817437;0,426242185269123;0,749924395671802;0,873038067942988;1,81619162739275;1,09261624439253;1,67760481958445;1,26377637597086;1,57458535078737;1,87438161371189
"TrA0063C";128,645014407255;370,873973412663;64,7281862495444;154,98977746262;120,78068052577;174,358174140614;94,1966608202039;96,6630901926864;95,9640411082594;151,324911512355;141,416418125071;93,2962878403965
"TrA0064W";1,45878480261903;2,37980841887904;1,31329436712192;1,17843427692052;0,559796504769127;0,362054022294004;0,0821656746938113;0,19419187873027;0,439397423333884;0,0952900903806903;0,382237935944366;0,0818228506295285
"TrA0065W";1,01740888798045;0,829881910173204;4,22740908706702;0,821882367493283;1,30140725895045;0,631273679897237;0;0,677181936085043;0;0,332293648507023;0,333233072361755;0,285330966297843
"TrA0066W";115,671943919841;382,055786668594;52,9451301226361;145,321522180881;85,3187794599626;136,911654418189;67,8207361789252;90,1879143316436;90,1113445948219;147,76518353848;131,221541854622;75,3636076062874
"TrA0067W";25,9848398885124;16,7785717594611;29,4218660541268;29,351235129811;23,514707831145;23,6177100589461;41,0653214085019;51,9820799411211;47,9164593236389;49,0060683804725;49,0501645902252;45,3688678170822
"TrA0068W";0;0;0;0,0437171472070895;0,0346118951848524;0;0;0,0360203157492044;0;0;0;0,0303543581167918
"TrA0069C";8,25371000803865;10,4102867506897;9,68509843810906;6,23535178265802;11,7307125806782;11,0722144953471;14,7429781480652;16,124807927233;14,0417604929811;15,6252256060294;15,5692755573025;13,8670190150105
"TrA0070W";0,361374741632401;1,54752569315085;0,656923201712942;0,547360183269092;1,30007384987366;0,168167168825084;0,228986306523736;0,0901984136178848;0;0;0,177542210684541;0
"TrA0071W";11,8206201719468;5,47240969751896;9,95585473403465;2,32271103856797;5,21034427949365;6,24412009463572;0,269916226047303;0,956887518381039;0;0;0;0
"TrA0072C";187,486823497984;103,838974010422;226,181570817163;148,70756957011;145,409823131524;125,998961298799;22,3490635167167;19,4660617747894;19,4900535246604;10,2037066895001;9,33627142392847;13,3023264287822
"TrA0073C";8,27199144503222;4,91124782353508;9,12252765770499;7,84674413230509;5,74439069280191;4,45829097875111;6,33298412864707;9,29932940398474;6,33751950958764;6,34500346948017;5,46951466356341;4,06754506281734
"TrA0074C";0,541618163134557;1,78924171050857;0,225046347796361;1,11570026545464;0,571563998863373;0,151226495798478;7,87067756935968;12,3831119393438;11,6236992413468;2,44117446937592;3,93820903700256;1,50377130886701
"TrA0075W";0;0;0;0;0;0;0;0;0,355702676032192;0;0;0,264950182990854
"TrA0076W";5,79826629287438;7,92517558767302;4,12389433059066;5,82328976020122;6,2641788974955;6,95223797943699;62,4043756173723;47,4588999045383;78,1197251532311;17,606838816628;21,9681139173081;16,0414151076216
"TrA0077W";9,51130982418275;13,9647641229653;7,67156725191097;6,10153788050217;7,08507251382923;9,78954869079218;82,8163267370719;56,9760943685766;107,180258118126;23,1340476612884;32,1053995605386;21,841578536911
"TrA0078W";21,214251633786;15,6606747564943;21,0518154134184;19,2435360775981;16,3725429351831;17,2072986939731;37,1483089816392;30,0544993676453;43,2389113176767;30,308396488826;29,3460092757287;39,5858364801927
"TrA0079C";6,57307802780099;4,41346288592113;7,32750908424951;6,21641936140374;7,30562711274457;5,52077527328311;10,0232163650729;11,1242523500516;12,3137799120962;10,9958989142324;12,7597972798883;11,2627914151385
"TrA0080W";9,16280896102878;6,17412144014402;8,00066880433869;8,85008874635087;8,79037884998911;10,8761609910006;10,658438926145;12,727756870996;13,0495740785304;15,6137979418962;17,2237334991799;12,960213770396
"TrA0081C";147,811949008232;129,798717513028;144,423895566793;130,837068493049;134,024613183475;132,953564270143;96,3470788808455;119,552843055442;110,579069411508;107,995435764782;106,946989161101;108,430862389007
"TrA0082C";0;0;0;0;0,285781999431687;0;0,251678643206269;0;0;0;0;0
"TrA0083W";65,534003221271;171,413108403998;56,1426241959629;56,1578358632082;64,5264766307172;60,6840346202419;74,2724902011367;60,0591027350123;66,5978263318104;59,5276046534794;56,1728581166434;61,1699744766535
"TrA0084W";1,065316617526;1,65436496033599;0,766119676559544;0,943331527745544;1,02201592361815;1,79232443502422;1,28084781616871;1,02269576778643;0,64793424258652;0,642352034288668;1,24807554053706;1,27550366904519
"TrA0085W";1,27790488345371;0,781772813931279;1,43806790602723;0,645197510713326;1,43029058652767;1,38758224325238;1,16963697953831;0,850566683005368;0,481143716372047;1,04343416197857;0,209276808729604;1,07516016286144
"TrA0086W";1,24307476914905;1,82511623102002;0,860844582266154;0,702925709040308;0,715529366998133;1,69684466588919;0,280063452590434;1,32381431114369;0,936059673768926;0,56839703034096;0,651433073789897;0,4880661265621
"TrA0087C";39,2340247016315;36,126510676806;29,8310289553736;33,0826503429062;37,4453074851683;31,0569276004489;32,4642359952306;27,2581260970012;23,3001569437601;32,6958658737414;29,2113945542804;31,988480808804
"TrA0088C";6,10853930735252;10,073566560235;10,7595201161796;7,40189240603891;5,86025256665941;6,42682240377308;7,18042201340294;6,89420163845616;6,29979438273882;5,20459931396542;6,0022101588051;6,70355884675655
"TrA0089C";0;1,96153906040939;0,416335743423267;0,971315525219335;5,76760035216677;0,373025356302913;1,01586652348712;6,00229443348106;0,905424993536488;1,9635533775415;6,30113445920409;3,70930256187196
"TrA0090W";238,698098117817;912,620780444979;211,393133586651;252,437818153034;271,019458036151;359,609251213564;135,884864014372;287,620675321099;167,561912966924;456,639928392548;540,574122428902;208,071178041487
"TrA0091C";40,4707659653422;35,522993959853;36,7593997851763;37,3719570983781;33,9491272761686;41,4422072673114;50,9998031100242;43,3824370029648;47,9212740481507;46,8858233320275;47,7868047782627;55,9685231342321
"TrA0092W";40,1611560521034;44,2495627885322;28,0506207131426;43,4891349611876;40,511384556938;51,0986452923068;57,6186793790351;47,5244166550933;60,3027192960825;60,8149297650431;60,5807312020159;66,9992775238123
"TrA0093C";86,8548370960272;91,9753914270302;82,6244183895069;100,443872746184;81,3754366123683;77,2437529284396;75,3551373566714;77,3844196316537;84,5654426566856;84,4056493350557;88,0380278271862;85,4678009647917
"TrA0094C";0,771776253464384;1,71151794384736;1,35286341134256;2,51330548921633;1,57336435573331;2,15489483728597;0,652051451982981;0,529742980635455;0,27241999258483;0,283576636581485;0,47396388847952;0,405831790139164
"TrA0095W";0,263472421190157;0,967093461058415;0;0,31925709494261;0,758290086141448;0,490431743346459;0,222600234230246;0,526097520066069;0;0;0,517772502872846;0
"TrA0096C";6,37660624970642;4,69793180875655;4,629549868548;3,32331905984842;6,57787494803882;4,62655865710067;0,31861028860016;0,513415542521708;0,658298887213543;0,906960113732231;0,774779849425853;0,548030705097723
"TrA0097W";11,7263013596667;10,1718424048457;10,5320576677866;7,86188556303768;13,0960694465041;10,2304973956343;0,234688635789104;0,515048367229398;0,358584155856035;0,719321534346885;0,467906024198324;0,534192988208383
"TrA0098C";0,934467946025525;0,29316480522423;1,59293675744554;0,725847199552492;1,72401097483246;1,91783688620954;0,910967262909646;0,813354390623883;1,08257336183711;0,845181671202645;1,24781297205027;1,29019219543372
"TrA0099W";0;0;0;0;0,131353217130092;0,127431022339504;0;0;0,154653337405301;0;0;0,115195731735154
"TrA0100W";6,57912780049109;3,42344081297865;8,13033008383173;2,97809005373853;7,36366585842675;5,87690891533834;1,11809208559903;2,15176592898378;1,70834904440847;2,2969869699542;1,37465787140655;1,59061001795539
"TrA0101C";0,223795525274888;4,03882883948507;0,0581179337265982;0,542358922711304;0,214699167085734;0;0;0;0;0;0;0
"TrA0102C";9,8189461509618;25,3799430788221;9,92942326128943;9,37648984153473;5,98877676685163;6,29411515649753;0,0549387008768846;0,259686288174205;0;0,318570606975759;0,0638942469130208;0,328256863882474
