"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0112W";2,14411653218719;3,39174016596039;1,8207232708257;3,37637508328401
"TrA0113W";-2,7168902606115;-4,44576093397514;-2,27191702860192;-3,17794398715012
"TrA0114C";4,95022409216861;1,31913433530183;4,74422520197117;2,29044403416064
"TrA0115W";6,11039123034256;2,57134911102214;5,916021036505;3,75366332921348
"TrA0116W";4,500766946314;2,79297876415672;4,83813645360081;3,36790896794684
"TrA0117W";-4,86508699255889;-4,96862819080281;-4,40079110031382;-4,89930685457746
"TrA0118C";6,62985201898519;6,28720712932631;6,56635650782669;6,4470708586645
"TrA0119C";4,5985182800547;2,52978251023033;4,62732672562572;1,85410147711668
"TrA0120C";6,04018799139434;7,03235563347438;5,52200501567656;6,90958101511826
"TrA0121C";1,21678217351985;2,76342570879782;0,930926331624294;1,97578843240549
"TrA0122W";-4,86508699255889;-4,43177961523502;-4,91812421968957;-4,89930685457746
"TrA0123C";8,17898064455386;8,1533629257129;8,15120643789721;8,02435744003495
"TrA0124C";6,01931003128859;6,60785120969732;6,19041287908479;6,60478471152822
"TrA0125C";4,64100166635486;5,17994587869457;4,3339621801025;4,97220029584924
"TrA0126C";0,877496960117904;1,72277310252527;1,189188096581;1,76078566530711
"TrA0127W";3,69060411491401;4,33762799219661;2,6900147364642;2,25867691216368
"TrA0128C";5,01682086878847;4,49225252087004;5,08207883690937;4,73431355352967
"TrA0129C";5,25109496695839;6,13098817923921;5,22598035641702;6,36457883563869
"TrA0130C";2,8316087823974;3,3385050691704;2,41888057689513;3,18365930845932
"TrA0131C";4,98017407061993;4,90532474408025;4,71474740509554;5,19796927089012
"TrA0132W";6,56366257610999;6,50645070223087;6,508974036239;6,62042243332779
"TrA0133C";-0,0946718185005592;-1,36377871663635;-0,465954269348992;-0,604714219602297
"TrA0134W";0,746069165727045;-1,28107052424741;0,540052955990736;-2,0063635184614
"TrA0135W";-2,33756147136951;-4,43177961523502;-2,2027879885635;-4,38072886335668
"TrA0136W";4,33422595763847;3,25962634516498;4,41584908747236;3,37665128963735
"TrA0137C";6,58291204005727;3,97217312661605;6,83225726084491;4,25227904464537
"TrA0138C";1,87871722516449;1,95421895707158;2,02181413712301;1,78472697926418
"TrA0139W";9,83274059157852;9,95526267261029;9,53401879960061;10,0505312473227
"TrA0140W";-3,25964757563494;-1,39959543268284;-4,40079110031382;-0,941420541147163
"TrA0141C";2,84644001137324;2,48519035359568;3,00103867407976;2,10740968274153
"TrA0142W";3,2498304876302;3,20134026875468;2,80057627103356;2,88120936535026
"TrA0143C";2,0991127788123;2,08938244478485;2,279145488459;1,98261984354231
"TrA0144W";5,07218528598416;5,76409868777889;5,28348258882511;6,16727916165532
"TrA0145C";3,83532966489494;3,90471283579462;3,69827105891948;3,88555534074607
"TrA0146W";2,95432839899909;3,01272196146581;3,14377971085555;3,19317617880838
"TrA0147C";2,93216394684113;3,51710705313517;2,85659914235811;3,18054979174435
"TrA0148W";7,42269506890724;7,36744056081437;7,38111689815219;7,56826853527692
"TrA0149C";5,73327291377995;5,66987379466217;5,7258872631366;5,66581162689279
"TrA0150W";-3,58725087467939;-4,96862819080281;-4,91812421968957;-4,89930685457746
"TrA0151W";5,24259715759106;5,4684667183229;5,07640533055057;5,40296268848242
"TrA0152C";5,08467504055653;5,36822130819134;4,71822843705729;5,31062152901237
"TrA0153W";5,0674339004259;4,93772277005369;4,74714925060452;4,99353617670147
"TrA0154W";6,0591642093549;5,52220103820334;5,79606541875381;5,47040957123487
"TrA0155W";-4,07725241555685;-1,46959569112858;-3,38197119255192;-2,66006641395193
"TrA0156C";1,07132114532199;2,25761894839937;1,08683504610861;1,02598006879026
"TrA0157W";7,07617002781229;3,93626509724993;6,44333175707646;3,87073015826117
"TrA0158W";-0,269274664190387;-0,633178088330453;0,181387066387094;-0,657766644857609
"TrA0159C";0,615738839573913;-4,20240719229745;0,0114737638911117;-4,89930685457746
"TrA0160C";2,98885316332495;2,28386174864715;2,09523607617278;2,09333694140645
"TrA0161W";3,82161712963362;2,69208135796957;3,65095705751112;2,04289201543092
"TrA0162C";5,31615704502804;5,5829223266492;5,0781775603914;5,77298786198087
